salary,job_id,bottomSalary,company,time,address,topSalary,job_name
1-1.5万/月,91809110,10.0,深圳通联金融网络科技服务有限公司,12-04,深圳-南山区,15.0,Linux系统工程师
1.5-3万/月,96552844,15.0,浙江省国际交流实业公司,12-04,杭州,30.0,测试
1-1.5万/月,89020246,10.0,上海小燕科技有限公司,12-04,上海-浦东新区,15.0,嵌入式Linux开发
1-1.5万/月,92444665,10.0,苏州钮曼精密机电科技有限公司,12-04,苏州-吴中区,15.0,PC软件工程师
2-2.5万/月,93785900,20.0,上海腾硕信息咨询有限公司,12-04,上海-徐汇区,25.0,产品经理
1-1.5万/月,94576961,10.0,北京海基科技发展有限责任公司,12-04,北京-海淀区,15.0,高级Java架构师
1-1.5万/月,96422269,10.0,中城智慧科技有限公司,12-04,无锡-滨湖区,15.0,软件测试工程师
1.2-2万/月,96475640,12.0,苏州益萃网络科技有限公司,12-04,苏州-高新区,20.0,大数据开发工程师
1-1.5万/月,93695269,10.0,武汉华中师大科技园发展有限公司,12-04,武汉,15.0,Android开发工程师
0.8-1万/月,91359068,8.0,上海棕榈电脑系统有限公司,12-04,上海-静安区,10.0,数据分析师
4.5-6千/月,74735277,4.5,山东婴贝儿健康管理顾问有限公司,12-04,济南-市中区,6.0,数据分析主管
1-1.4万/月,77972150,10.0,深圳市企信安科技开发有限公司,12-04,深圳-罗湖区,14.0,渗透测试工程师
8-16万/年,96544620,6.66666666667,无锡瓴芯电子科技有限公司,12-04,异地招聘,0.833333333333,系统验证工程师
0.6-1万/月,81672557,6.0,浙江神州量子网络科技有限公司,12-04,杭州-余杭区,10.0,C/C++软件工程师（应届毕业生）
10-15万/年,95433801,8.33333333333,上海修曼人才有限公司,12-04,异地招聘,12.5,网络工程师
0.8-1万/月,93521510,8.0,北京都在哪网讯科技有限公司,12-04,北京-朝阳区,10.0,测试工程师
1-1.5万/月,91113832,10.0,长沙隆佳网络科技有限公司,12-04,长沙-岳麓区,15.0,node 棋牌后台开发
1.2-3万/月,96111576,12.0,广州博盾信息技术有限公司,12-04,异地招聘,30.0,运维技术主管
4-7.9千/月,80660125,4.0,常州微享软件科技有限公司,12-04,常州,7.9,php/thinkphp 程序员
1-1.5万/月,91357321,10.0,深圳市金众诚科技有限公司,12-04,深圳,15.0,软件开发项目经理
10-20万/年,84788795,8.33333333333,中国科学院上海高等研究院,12-04,上海-浦东新区,16.6666666667,卫星遥感数据应用系统开发研究员
0.5-1万/月,72261908,5.0,成都四海万联科技有限公司,12-04,成都-高新区,10.0,测试工程师
4.5-6千/月,95499024,4.5,贵州赖茅酒业有限公司,12-04,深圳-福田区,6.0,数据分析师
0.8-1万/月,91585855,8.0,华润怡宝饮料（中国）有限公司,12-04,深圳-南山区,10.0,运维工程师（云计算及服务器方向）
0.8-1万/月,93717874,8.0,重庆尚唯信息技术有限公司,12-04,异地招聘,10.0,Java开发工程师
0.7-1万/月,90098477,7.0,杭州云灵科技有限公司,12-04,杭州-上城区,10.0,系统运维工程师
1-1.5万/月,76176179,10.0,北京必可测科技股份有限公司武汉分...,12-04,武汉-洪山区,15.0,云计算开发工程师
2.5-3万/月,96628761,25.0,北京大米未来科技有限公司,12-04,北京,30.0,测试架构师(1421)
3-4.5千/月,86990005,3.0,广州市竣达智能软件技术有限公司,12-04,广州,4.5,测试工程师/助理工程师
1-1.5万/月,86285513,10.0,浙江大仓信息科技股份有限公司,12-04,宁波,15.0,运维/开发工程师
1-1.3万/月,95703875,10.0,安徽小马金融咨询服务有限公司,12-04,合肥,13.0,数据分析岗
1-1.5万/月,95621859,10.0,英诺创新企业管理咨询有限公司,12-04,上海-徐汇区,15.0,APP软件测试工程师
1-1.5万/月,96024045,10.0,上海微问家信息技术有限公司（爱客...,12-04,上海,15.0,接口自动化测试工程师
1-1.5万/月,89104032,10.0,Forgame——云游控股集团（上海）,12-04,上海,15.0,Erlang测试开发工程师
