company,create_time,job_city,job_id,job_name,key_word,salary,salary_avg,salary_max,salary_min
小黄狗环保科技有限公司,2018-05-04 00:00:00,东莞,98430342,高级硬件研发工程师,单片机,40-60万/年,66.67,50.0,33.333333333333336
小黄狗环保科技有限公司,2018-05-04 00:00:00,东莞,100711912,硬件工程师,单片机,1-2万/月,25.0,20.0,10.0
东莞市威狮特企业管理咨询有限公司,2018-05-04 00:00:00,东莞,87586433,PLC开发工程师,单片机,0.8-1.2万/月,16.0,12.0,8.0
东莞市科旺科技股份有限公司,2018-05-04 00:00:00,东莞,98377911,PCS开发高级工程师,单片机,6-8千/月,11.0,8.0,6.0
东莞市科旺科技股份有限公司,2018-05-04 00:00:00,东莞,98828747,充电桩软件开发高级工程师,单片机,6-8千/月,11.0,8.0,6.0
东莞市科旺科技股份有限公司,2018-05-04 00:00:00,东莞,98378552,充电桩软件开发高级工程师,单片机,6-8千/月,11.0,8.0,6.0
东莞正扬电子机械有限公司,2018-05-03 00:00:00,异地招聘,96915798,汽车电子工程师,单片机,0.8-1万/月,14.0,10.0,8.0
东莞正扬电子机械有限公司,2018-05-03 00:00:00,异地招聘,96915788,软件工程师,单片机,1-1.5万/月,20.0,15.0,10.0
东莞正扬电子机械有限公司,2018-05-03 00:00:00,异地招聘,84988387,电气编程工程师,单片机,0.8-1.5万/月,19.0,15.0,8.0
广东荣文能源科技集团有限公司,2018-05-03 00:00:00,东莞,95285876,嵌入式软件工程师,单片机,1-1.5万/月,20.0,15.0,10.0
广东荣文能源科技集团有限公司,2018-05-03 00:00:00,东莞,90710872,固件工程师（工作地址：东莞松山湖）,单片机,1-1.5万/月,20.0,15.0,10.0
维拓客科技（深圳）有限公司,2018-05-03 00:00:00,东莞-南城区,93561537,嵌入式软件开发工程师,单片机,0.6-1万/月,13.0,10.0,6.0
广东合即得能源科技有限公司,2018-05-03 00:00:00,东莞-樟木头镇,85052900,嵌入式软件工程师,单片机,0.7-1.5万/月,18.5,15.0,7.0
武汉汉迪机器人科技有限公司,2018-05-03 00:00:00,东莞,97723360,AGV导航控制工程师,单片机,0.8-1.5万/月,19.0,15.0,8.0
武汉汉迪机器人科技有限公司,2018-05-03 00:00:00,东莞,97306944,嵌入式软件工程师,单片机,0.8-1.5万/月,19.0,15.0,8.0
深圳市朗科智能电气股份有限公司,2018-05-03 00:00:00,异地招聘,79192741,软件工程师(逆变电源),单片机,1-2.2万/月,27.0,22.0,10.0
东莞珂洛赫慕电子材料科技有限公司,2018-05-02 00:00:00,东莞,99888669,电子开发工程师（一）,单片机,0.6-1万/月,13.0,10.0,6.0
东莞市优超精密技术有限公司,2018-05-02 00:00:00,东莞,97245044,电子开发实习生,单片机,4.5-6千/月,8.25,6.0,4.5
东莞市优超精密技术有限公司,2018-05-02 00:00:00,东莞,96355791,电子工程实习生,单片机,6-8千/月,11.0,8.0,6.0
东莞市优超精密技术有限公司,2018-05-02 00:00:00,东莞,71272315,嵌入式软件工程师,单片机,1-1.5万/月,20.0,15.0,10.0
东莞市依讯诺电子科技有限公司,2018-05-02 00:00:00,东莞-樟木头镇,67142798,急聘电子工程师（按摩器相关）,单片机,1-1.5万/月,20.0,15.0,10.0
东莞旭科电子制品有限公司,2018-05-02 00:00:00,东莞,77231338,高級電子工程師,单片机,0.8-1万/月,14.0,10.0,8.0
大明电子有限公司,2018-05-02 00:00:00,异地招聘,90246327,软件工程师,单片机,0.8-1万/月,14.0,10.0,8.0
东莞市科英泰电气技术有限公司,2018-05-02 00:00:00,东莞,98249189,软件开发工程师,单片机,0.8-1.5万/月,19.0,15.0,8.0
广东省智能机器人研究院,2018-05-02 00:00:00,东莞,98161761,电工技师（纳秒）--大功率激光器,单片机,0.8-1.2万/月,16.0,12.0,8.0
广东省智能机器人研究院,2018-05-02 00:00:00,东莞,98161717,电控助理工程师--大功率激光器,单片机,4-8千/月,10.0,8.0,4.0
